의소코드	1단계 대화
step1-1-1;Why don’t we go to the movies tomorrow?
step1-1-2;I’d love to. How about 3 o’clock?
step1-2-1;What’s your favorite subject?
step1-2-2;My favorite subject is English.
step1-3-1;What are you interested in?
step1-3-2;I’m interested in basketball.
step1-4-1;What is your opinion about social media?
step1-4-2;It’s good for relationships.
step1-5-1;I wonder if she likes the scarf.
step1-5-2;I think she will.
step1-6-1;What is Kimbap?
step1-6-2;It is Korea’s most popular on-the-go meal.
step1-7-1;Do you know how to use this kiosk?
step1-7-2;Yes, I do.
step1-8-1;I feel tired these days.
step1-8-2;I think you should sleep early.
step1-9-1;Can you open the door?
step1-9-2;No problem.
step1-10-1;Can you stand on one leg?
step1-10-2;Yes, I can.
step1-11-1;Which do you prefer, summer or winter?
step1-11-2;I prefer winter.
step1-12-1;Why do you want to join the dance club?
step1-12-2;Because I want to practice dancing.
step1-13-1;Are you going to have a birthday party this Saturday?
step1-13-2;Yes, I am looking forward to it.
step1-14-1;What are you going to do this weekend?
step1-14-2;I am going to play soccer with my friends.
step1-15-1;How can I get to the museum?
step1-15-2;Go straight two blocks and turn right.
step1-16-1;Would you like some fried chicken?
step1-16-2;Yes, please. Wow, it’s really good!
step1-17-1;Do you have any plans for this weekend?
step1-17-2;I will see a movie. I’m looking forward to it.
step1-18-1;How are you doing?
step1-18-2;<I’m great|Not bad|Not good>.
step1-20-1;Do you mind if I drink this water?
step1-20-2;Not at all. Sure, go ahead.
step1-21-1;Have you ever been to Busan?
step1-21-2;No, I haven’t.
step1-22-1;May I take pictures in the museum?
step1-22-2;You must not take pictures here.
step1-23-1;What surprised you at the trip?
step1-23-2;I was surprised by nature.
step1-24-1;What should I bring on a sports day?
step1-24-2;Don’t forget to bring water.
step1-25-1;Can I ask you to call me back?
step1-25-2;Okay. I’ll call you back later.
step1-26-1;What should I do?
step1-26-2;Why don’t you write a letter for her?
step1-27-1;What do you think about my backpack?
step1-27-2;I think its color is beautiful.
step1-28-1;Can I ride a bike to school?
step1-28-2;No, you can’t.
step1-29-1;What’s going on?
step1-29-2;I’m looking forward to going camping.
step1-30-1;It will rain soon.
step1-30-2;Make sure you take an umbrella.
step1-31-1;How do you like this backpack?
step1-31-2;I like it. I like its design.
step1-32-1;What’s the matter?
step1-32-2;I am worried about my presentation.
step1-33-1;What did you do last weekend?
step1-33-2;I went shopping with my friends.
step1-34-1;I am going to enter a singing contest.
step1-34-2;I will keep my fingers crossed for you.
step1-35-1;I think math is really fun.
step1-35-2;Well, I don’t think so. It is so hard.
step1-36-1;In my opinion, Mr. Yoon is the best teacher in our school.
step1-36-2;<I agree with you|I don’t agree with you>.
step1-38-1;Hi, I’m <John|Park|Minho>. I’m in first grade.
step1-38-2;<Nice to meet yo|Glad to meet you>.
step1-40-1;What are you going to talk about?
step1-40-2;I’d like to tell you about our school.
step1-41-1;Can you recommend something from the menu?
step1-41-2;I recommend that you try tomato pasta.
step1-42-1;Is it going to rain?
